latitude,longitude,accommodates,beds,bathrooms,half_bathrooms,shared_bathrooms,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,price
-22.94325,-43.19269,2,1.0,1,0,1,0,0,1,0,250.0
-22.97746,-43.1902,8,5.0,3,0,0,1,0,0,0,1846.0
-22.971424102783203,-43.18435287475586,3,2.0,1,1,0,0,0,1,0,586.0
-22.9826,-43.22778,2,1.0,1,0,0,1,0,0,0,649.0
-22.96651,-43.18376,7,5.0,3,0,0,1,0,0,0,1300.0
-22.97495,-43.19083,4,3.0,1,1,0,1,0,0,0,989.0
-22.96392,-43.17509,2,2.0,1,0,0,0,0,1,0,478.0
-22.97135,-43.19062,3,2.0,1,1,0,1,0,0,0,671.0
-22.96566,-43.17654,2,1.0,1,0,1,0,0,1,0,481.0
-22.98253,-43.19428,6,5.0,2,0,0,1,0,0,0,1040.0
-22.97056,-43.188,2,2.0,1,0,0,0,0,1,0,211.0
-22.96166,-43.17292,2,1.0,1,1,0,0,0,1,0,494.0
-22.97046,-43.18713,3,2.0,1,0,0,1,0,0,0,685.0
-22.98535,-43.20054,3,2.0,1,0,0,1,0,0,0,557.0
-22.9841,-43.19374,2,1.0,1,0,0,1,0,0,0,450.0
-22.96626,-43.17985,2,1.0,2,0,2,0,0,1,0,496.0
-22.92128,-43.18532,3,3.0,1,0,1,0,0,1,0,564.0
-22.92134,-43.18539,2,2.0,1,0,0,0,0,1,0,579.0
-22.92118,-43.1869,3,3.0,1,0,1,0,0,1,0,477.0
-22.98662,-43.18973,9,7.0,3,0,0,1,0,0,0,1538.0
-22.93585,-43.20258,2,1.0,1,0,1,0,0,1,0,297.0
-22.93955,-43.20796,3,2.0,1,0,0,0,0,1,0,276.0
-22.97995,-43.19024,5,3.0,1,0,0,0,0,1,0,2488.0
-22.96667,-43.19185,4,2.0,1,0,0,1,0,0,0,904.0
-22.96277,-43.17539,4,4.0,1,0,0,1,0,0,0,349.0
-22.97995,-43.19024,4,2.0,1,0,0,1,0,0,0,2488.0
-22.97995,-43.19024,6,3.0,1,0,0,1,0,0,0,2406.0
-22.91731,-43.18947,5,3.0,2,1,0,1,0,0,0,1069.0
-22.9674,-43.17651,4,2.0,1,0,0,0,0,1,0,342.0
-22.9752,-43.19239,2,2.0,1,0,0,1,0,0,0,150.0
-22.98623296137963,-43.19131395796861,2,1.0,1,0,1,0,0,1,0,393.0
-22.96915,-43.18214,4,3.0,1,0,0,1,0,0,0,471.0
-22.98352,-43.19923,6,8.0,2,1,0,1,0,0,0,1842.0
-22.98337,-43.20612,2,1.0,1,0,0,0,0,1,0,489.0
-22.98322,-43.20498,1,1.0,1,0,0,0,0,1,0,489.0
-22.98184,-43.20316,4,2.0,2,0,0,1,0,0,0,3102.0
-22.9653,-43.17467,5,2.0,1,0,0,1,0,0,0,699.0
-22.98487,-43.22047,4,2.0,1,1,0,1,0,0,0,1443.0
-22.91779,-43.18307,4,2.0,1,0,0,1,0,0,0,529.0
-22.96858,-43.19088,6,3.0,2,0,0,1,0,0,0,970.0
-22.91662,-43.19224,2,1.0,1,0,1,0,0,1,0,512.0
-22.95539,-43.16666,5,2.0,1,1,0,1,0,0,0,971.0
-22.91173,-43.18539,2,1.0,1,0,0,1,0,0,0,800.0
-22.98772,-43.19411,3,1.0,1,1,0,1,0,0,0,1893.0
-22.98434,-43.1924,2,2.0,1,0,0,1,0,0,0,850.0
-22.9153,-43.18569,4,2.0,1,0,0,1,0,0,0,117.0
-23.0165,-43.45943,1,1.0,1,0,0,1,0,0,0,241.0
-22.98373,-43.21874,4,3.0,1,0,0,1,0,0,0,1543.0
-22.98395,-43.21022,4,2.0,2,0,0,1,0,0,0,1223.0
-22.97203,-43.18395,4,3.0,1,1,0,1,0,0,0,1257.0
-22.96355,-43.16923,2,2.0,1,0,0,1,0,0,0,486.0
-22.93399,-43.19864,2,1.0,2,1,3,0,0,1,0,494.0
-22.98249,-43.20393,4,3.0,2,0,0,1,0,0,0,729.0
-22.94462,-43.16223,2,1.0,1,0,0,0,0,1,0,248.0
-23.00909,-43.34118,1,1.0,1,0,0,0,0,1,0,500.0
-22.94912,-43.18671,4,2.0,2,0,0,1,0,0,0,836.0
-22.98552,-43.20622,4,3.0,2,0,0,1,0,0,0,2286.0
-22.95975,-43.27057,6,6.0,3,0,0,1,0,0,0,750.0
-22.96245,-43.17088,2,1.0,1,0,0,1,0,0,0,643.0
-22.96344,-43.17257,5,3.0,1,1,0,1,0,0,0,887.0
-22.98011,-43.1922,1,1.0,1,1,0,0,0,1,0,479.0
-22.98483,-43.19822,4,2.0,1,1,0,1,0,0,0,936.0
-22.98251,-43.22108,4,3.0,1,0,0,1,0,0,0,2327.0
-22.92237,-43.18186,2,1.0,1,0,0,1,0,0,0,320.0
-22.91178,-43.17856,2,1.0,1,0,0,1,0,0,0,363.0
-22.98632,-43.21035,2,2.0,1,0,0,1,0,0,0,2446.0
-23.00866,-43.42651,4,4.0,1,0,0,1,0,0,0,457.0
-22.98527,-43.20079,2,1.0,1,0,0,1,0,0,0,797.0
-22.9836,-43.1923,2,1.0,1,0,0,1,0,0,0,680.0
-22.98566,-43.19644,2,1.0,2,0,0,1,0,0,0,993.0
-22.96998,-43.39254,2,3.0,2,0,0,1,0,0,0,350.0
-22.98225,-43.22378,5,2.0,2,1,0,1,0,0,0,1000.0
-22.98274,-43.19997,6,3.0,2,0,0,1,0,0,0,1157.0
-22.96882,-43.18073,6,4.0,2,0,0,1,0,0,0,2714.0
-22.9617,-43.17257,3,1.0,1,1,0,0,0,1,0,424.0
